#CaseId,Lat,Lon,AreaName,Number,Street1,Xstreet,City,County,State,Postal,Country,Airport,FreeForm,LimitedFreeForm
1,34.056073,-118.261471,,,,,,,,,USA,,Liberty,Los Angeles
2,,,,3644,Kings Way,,,,,95821,USA,,,
3,,,,320,Mercer Ave,,Bellmawr,,NJ,8031,USA,,,
4,,,,13090,Caminito Bautizo,,,,CA,,USA,,,
5,,,,16838,Panorama Drive,,Woodbridge,,Virginia,,USA,,,
6,,,,50,N George St,,York,,PA,,USA,,,
7,,,,16314,County Road 30,,Maple Grove,,MN,55311,USA,,,
8,,,,1,Marina Park Drive,,Boston,,MA,,USA,,,
9,,,,17w280,22nd Street,,Oakbrook Terrace,,illinois,60181,USA,,,
10,,,,2P,Garden,,Cambridge,,MA,,USA,,,
11,,,,6483N, 1200 E,,Idaville,,IN,,USA,,,
12,41.892064,-88.192958,,29W342,Grove Ave,,West Chicago,,IL,60185,USA,,,
13,,,,8422R,E Havasupai Dr,,Scottsdale,,AZ,,USA,,,
14,,,,251E,Pacific Coast Highway,,Newport Beach,,CA,,USA,,,
15,,,,493-B,Flat Shoals Ave,,Atlanta,,GA,,USA,,,
16,,,,1 - 141,Circle View Dr,,Hendersonville,,NC,28792,USA,,,
17,,,,42- 38,ninth street,,long island city,,ny,11101,USA,,,
18,,,,92-1300,Kikaha,,Kapolei,,,,USA,,,
19,,,,108-41,108 Ave,,,,New york,11433,USA,,,
20,,,,110-44,207 Street,,New York,,NY,,USA,,,
21,,,,66-303,Haleiwa Road,,Haleiwa,,,96712,USA,,,
22,,,,15 1/2,Figueroa Street ,,Los Angeles,,CA,,USA,,,
23,,,,10799,Cody Lane,,Fishers,,,,USA,,,
24,,,,11000,Cody Lane,,Fishers,,,,USA,,,
25,,,,1431,Pennsylvania Ave NW,,Washington,,DC,,USA,,,
26,,,,299,Pennsylvania Ave NW,,Washington,,DC,,USA,,,
27,,,,6119,Safari Trl,,Kissimmee,,FL,,USA,,,
28,,,,6300,Safari Trl,,kissimmee,,FL,,USA,,,
29,,,,899,Celebration Blvd,,Kissimmee,,FL,,USA,,,
