#CaseId,R.type,R.c.lat,R.c.lon,R.dir.head,R.dir.speed,R.Box.topleft.lat,R.Box.topleft.lon,R.Box.BottomRight.lat,R.Box.BottomRight.lon,Name,SearchScheme,CategoriesOff,CategoriesOn,SliceSize,ExtendedConfig,Language
1,1,37.8108,-122.29675,,,,,,,,atlasbook-standard,AE,1000,10,,
2,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AEMA,1002,10,,
3,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AEMB,1003,10,,
4,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AEMC,1004,10,,
5,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AEMD,1005,10,,
6,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AEME,1008,10,,
7,1,37.80671,-122.3008,,,,,,,,atlasbook-standard,AED,1009,10,,
8,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AEMF,1010,10,,
9,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AEMG,1011,10,,
10,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AEMH,1012,10,,
11,1,37.80666,-122.30076,,,,,,,,atlasbook-standard,AEF,1014,10,,
12,1,37.79694,-122.27578,,,,,,,,atlasbook-standard,AEYE,1015,10,,
13,1,37.76601,-122.23972,,,,,,,,atlasbook-standard,AEYF,1016,10,,
14,1,37.80391,-122.27023,,,,,,,,atlasbook-standard,AEYG,1017,10,,
15,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AEMI,1019,10,,
16,1,37.80213,-122.27551,,,,,,,,atlasbook-standard,AEG,1020,10,,
17,1,37.80584,-122.27469,,,,,,,,atlasbook-standard,AEH,1021,10,,
18,1,37.80088,-122.2749,,,,,,,,atlasbook-standard,AEI,1022,10,,
19,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AEMJ,1023,10,,
20,1,37.80424,-122.26968,,,,,,,,atlasbook-standard,AEYJ,1024,10,,
21,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AEML,1033,10,,
22,1,37.80556,-122.29593,,,,,,,,atlasbook-standard,AEJ,1025,10,,
23,1,37.80384,-122.27005,,,,,,,,atlasbook-standard,AEYL,1026,10,,
24,1,37.80376,-122.2825,,,,,,,,atlasbook-standard,AEK,1028,10,,
25,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AEMM,1029,10,,
26,1,37.79937,-122.27827,,,,,,,,atlasbook-standard,AEL,1031,10,,
27,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AEMN,1035,10,,
28,1,37.80912,-122.26821,,,,,,,,atlasbook-standard,AEYN,1036,10,,
29,1,37.81303,-122.24699,,,,,,,,atlasbook-standard,AEYO,1037,10,,
30,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AEMO,1038,10,,
31,1,37.80563,-122.27444,,,,,,,,atlasbook-standard,AEYP,1039,10,,
