#CaseId,Lat,Lon,AreaName,Number,Street1,Xstreet,City,County,State,Postal,Country,Airport,FreeForm,LimitedFreeForm
1,34.056073,-118.261471,,,,,,,,,USA,,Liberty,Los Angeles
2,,,,,,,,,,,USA,,3644 Kings Way,95821
3,,,,,,,,,,,USA,,320 Mercer Ave,Bellmawr NJ 8031
4,,,,,,,,,,,USA,,13090 Caminito Bautizo, CA 
5,,,,,,,,,,,USA,,16838 Panorama Drive,Woodbridge Virginia 
6,,,,,,,,,,,USA,,50 N George St,York PA 
7,,,,,,,,,,,USA,,16314 County Road 30,Maple Grove MN 55311
8,,,,,,,,,,,USA,,1 Marina Park Drive,Boston MA 
9,,,,,,,,,,,USA,,17w280 22nd Street,Oakbrook Terrace illinois 60181
10,,,,,,,,,,,USA,,2P Garden,Cambridge MA 
11,,,,,,,,,,,USA,,6483N  1200 E,Idaville IN 
12,41.892064,-88.192958,,,,,,,,,USA,,29W342 Grove Ave,West Chicago IL 60185
13,,,,,,,,,,,USA,,8422R E Havasupai Dr,Scottsdale AZ 
14,,,,,,,,,,,USA,,251E Pacific Coast Highway,Newport Beach CA 
15,,,,,,,,,,,USA,,493-B Flat Shoals Ave,Atlanta GA 
16,,,,,,,,,,,USA,,1 - 141 Circle View Dr,Hendersonville NC 28792
17,,,,,,,,,,,USA,,42- 38 ninth street,long island city ny 11101
18,,,,,,,,,,,USA,,92-1300 Kikaha,Kapolei  
19,,,,,,,,,,,USA,,108-41 108 Ave, New york 11433
20,,,,,,,,,,,USA,,110-44 207 Street,New York NY 
21,,,,,,,,,,,USA,,66-303 Haleiwa Road,Haleiwa  96712
22,,,,,,,,,,,USA,,15.5 Figueroa Street ,Los Angeles CA 
23,,,,,,,,,,,USA,,10799 Cody Lane,Fishers  
24,,,,,,,,,,,USA,,11000 Cody Lane,Fishers  
25,,,,,,,,,,,USA,,1431 Pennsylvania Ave NW,Washington DC 
26,,,,,,,,,,,USA,,299 Pennsylvania Ave NW,Washington DC 
27,,,,,,,,,,,USA,,6119 Safari Trl,Kissimmee FL 
28,,,,,,,,,,,USA,,6300 Safari Trl,kissimmee FL 
29,,,,,,,,,,,USA,,899 Celebration Blvd,Kissimmee FL 
